stated in	source
Abant Izzet Baysal University	Abant Izzet Baysal Universitesi
Abant Izzet Baysal University	Abant İzzet Baysal University
Technische Universität Darmstadt	Darmstadt University of Technology
Technische Universität Darmstadt	University of Darmstadt
Technische Universität Darmstadt	TU Darmstadt
Technische Universität Darmstadt	TH Darmstadt
Tempo	Vidal & Sohn Tempo-Werke GmbH
University of Giessen	Justus Liebig University Giessen
University of Giessen	University of Gießen
White Star Line	Oceanic Steam Navigation Company
White Star Line	White Star Line of Boston Packets
Daewoo	Daewoo Group
Transcend Information	Transcend
Concordia University	Université Concordia
Concordia University	Sir George Williams University
Concordia University	Loyola College, Montreal
Tokyo Electric Power Company	TEPCO
Tokyo Electric Power Company	Tōkyō Denryoku
Tokyo Electric Power Company	Tokyo Denryoku
PepsiCo	PepsiCo Inc.
Hindustan Aeronautics Limited	HAL
Crédit Suisse	Credit Suisse Group AG
Magnum Photos	Magnum
Université catholique de Louvain	Catholic University of Louvain
Université catholique de Louvain	Louvain-la-Neuve
Université catholique de Louvain	UCL
Aero	Aero Tovarna Letadel
Aero	Aero Vodochody Narodni Podnik
African Lakes Corporation	African Lakes
University of British Columbia	UBC
Škoda Works	Skoda Works
Škoda Works	ŠKODA, a.s.
Politecnico di Torino	Polytechnic University of Turin
International Kazakh-Turkish University	Akhmet Yassawi University
Airspeed Ltd.	Airspeed
The Gap, Inc.	Gap, Inc.
The Gap, Inc.	The Gap
Apple Store	Apple Retail Store
Altria	Altria Group, Inc.
Altria	Philip Morris Companies Inc.
Dortmunder Actien Brauerei	DAB
ATR	Avions de Transport Régional
ATR	Aerei da Trasporto Regionale
Skidmore, Owings and Merrill	Skidmore, Owings & Merrill LLP
Skidmore, Owings and Merrill	SOM
American Automobile Association	AAA
Helaba	Landesbank Hessen-Thüringen
Dresden Academy of Fine Arts	Hochschule für Bildende Künste Dresden
Dresden Academy of Fine Arts	HfBK Dresden
Dresden Academy of Fine Arts	HfBK
Dresden Academy of Fine Arts	Kunsthochschule Dresden
Dresden Academy of Fine Arts	Kunstakademie Dresden
Amoco	Amoco Corporation
Amoco	Standard Oil Company (Indiana)
Pontifical Gregorian University	PUG
Pontifical Gregorian University	Gregorianum
Ametek	AMETEK, Inc
Hunting Aircraft	Percival Aircraft Company
Tesla Motors	Tesla
Tesla Motors	Tesla Motors, Inc.
Korea New Network	KNN
S.M. Entertainment	SM Entertainment
University of Sydney	Sydney University
University of Sydney	USyd
University of Sydney	Sydney Uni
Ernst & Young	EY
Ernst & Young	Ernst & Young Global Limited
ArcelorMittal Kryvyi Rih	Kryvorizhstal
Deloitte	Deloitte Touche Tohmatsu
Deloitte	DTT International
Korea Exchange	KRX
Hokkaido Railway Company	JR Hokkaido
Hokkaido Railway Company	北海道旅客鉄道
Hokkaido Railway Company	JR北海道
Lille University of Science and Technology	Université Lille 1
Lille University of Science and Technology	Université Lille I
Lille University of Science and Technology	USTL
Lille University of Science and Technology	University of Lille 1
Lille University of Science and Technology	university Lille 1
Lille University of Science and Technology	university de Lille 1
Lille University of Science and Technology	universite Lille 1
Lille University of Science and Technology	universite de Lille 1
Lille University of Science and Technology	university of Lille 1
University of Marne la Vallée	University of Marne-la-Vallée
West Japan Railway Company	JR West
Leidos	Science Applications International Corporation
Leidos	SAIC, Inc.
Bedford Vehicles	Bedford
Babeș-Bolyai University	Universitatea Babeș-Bolyai
Babeș-Bolyai University	Universitatea Babes-Bolyai
Babeș-Bolyai University	UBB
Parker Pen Company	Parker
National and Kapodistrian University of Athens	University of Athens
HUSS Park Attractions	HUSS Maschinenfabrik
Ann Arbor Railroad	AA
ABRSM	Associated Board
ABRSM	Associated Board of the Royal Schools of Music
ABRSM	AB
ABRSM	The Board
THQ	Toy Head Quarters
THQ	Toy HQ
THQ	Trinity Acquisition Corporation
THQ	TAC
THQ	T.HQ
University of Zimbabwe	UZ
BT Group	BT
BT Group	BT Group plc
BT Group	British Telecom
KBR	Kellogg Brown & Root
EA Los Angeles	Danger Close Games
Tallinn University of Technology	Tallinn Technical University
Mozilla Add-ons	addons.mozilla.org
Mozilla Add-ons	AMO
SRI International	Stanford Research Institute
Vrije Universiteit Brussel	VUB
Discovery Communications	Discovery Communications, Inc.
Humboldt State University	HSU
Macy's	Macys
TÜV Rheinland	TUV Rheinland Group
TÜV Rheinland	TÜV Rheinland Group
TÜV Rheinland	TÜV Rheiland AG
Motorola Solutions	Motorola Solutions, Inc.
Larsen & Toubro	L&T
ArmorGroup	ArmorGroup International
Valentino SpA	Valentino Fashion Group
Bristol	Bristol
Bristol	Bristol Aeroplane Company
University of Lausanne	Université de Lausanne
University of Lausanne	UNIL
OJSC Russian Railways	Russian Railways
Central University of Chile	Universidad Central de Chile
Panthéon-Assas University	Assas
Panthéon-Assas University	Paris II
Landis+Gyr	Landis & Gyr
Daily Mail and General Trust	Daily Mail and General Trust plc
University of Hanover	TH Hannover
University of Hanover	University of Hannover
University of Hanover	Gottfried Wilhelm Leibniz University Hanover
Saudi Aramco	Saudi Arabian Oil Company
TU Dortmund University	Dortmund University
TU Dortmund University	University of Dortmund
TU Dortmund University	Technical University of Dortmund
University of Lugano	Università della Svizzera italiana
University of Lugano	USI
University of Lugano	University of Italian Switzerland
Logica	Logica plc
Monster.com	Monster Worldwide
Monster.com	Monster Worldwide, Inc.
Gamania Digital Entertainment	Gamania
Real	real,-
De La Rue	De La Rue plc
Josef Manner & Comp AG	Manner
Walther arms	Carl Walther GmbH Sportwaffen
Walther arms	Walther
JUSCO	Japan United Stores Company
Costco	Costco Wholesale
NBCUniversal	NBCUniversal Media, LLC
NBCUniversal	NBCU
Asia Television	Asia Television Limited
Asia Television	ATV
Asia Television	HKATV
Verisign	VeriSign
Royal Bank of Canada	RBC
Macquarie University	Macquarie uni
Neiman Marcus	Neimans
Neiman Marcus	Neiman Marcus, Inc
Neiman Marcus	Neiman Marcus, Inc.
Neiman Marcus	Neiman Marcus Inc
Neiman Marcus	Neiman Marcus Inc.
Neiman Marcus	Neiman Marcus Group
Oklahoma State University–Stillwater	Oklahoma State University
Oklahoma State University–Stillwater	OSU
Kate Spade & Company	Liz Claiborne Inc.
Kate Spade & Company	Fifth & Pacific Companies
Auburn University at Montgomery	AUM
Masaryk University	Masarykova univerzita
Masaryk University	Universitas Masarykiana Brunensis
Austin Peay State University	APSU
Autonomous University of Madrid	Universidad Autónoma de Madrid
Autonomous University of Madrid	la Autónoma
Autonomous University of Madrid	UAM
Avianca Holdings	Avianca-TACA
Aviation Safety Network	ASN
Avio	Avio S.p.A.
Avon Products	Avon Products, Inc
Avon Products	Avon
Aéroports de Paris	ADP
Immanuel Kant Baltic Federal University	Immanuel Kant Russian State University
Immanuel Kant Baltic Federal University	Kaliningrad State University
Bandai Namco Holdings	Bandai Namco Group
Bandai Namco Holdings	Bandai Namco Holdings Inc.
Bangor and Aroostook Railroad	BAR
Transnet	Transnet SOC Ltd
University of Florence	Università degli studi di Firenze
Caixa Econômica Federal	CEF
Yamana Gold	Yamana Gold Inc.
University of São Paulo	USP
University of São Paulo	Universidade de São Paulo
Binghamton University	Harpur College
The Home Depot	Home Depot
Georgia Institute of Technology	Georgia Tech
SingTel	Singapore Telecommunications
University of Queensland	UQ
Mozarteum University of Salzburg	Salzburg Mozarteum
Deutsche Stiftung Denkmalschutz	German Foundation for Monument Protection
BBN Technologies	Bolt, Belarek and Newman
Honeywell	Honeywell International, Inc.
Honeywell	Minneapolis Heat Regulator Company
Honeywell	Minneapolis-Honeywell Regulator Company
MGM Television	Metro-Goldwyn-Mayer Television
MGM Television	Metro-Goldwyn-Mayer Studios Television Group and Digital
Gaumont Film Company	Gaumont
Université du Québec à Trois-Rivières	UQATR
Global Telecom Holding	Orascom Telecom Holding
Williams Companies	Williams Companies, Inc.
Helvetia Insurance	Helvetia
Helvetia Insurance	Helvetia Versicherungen
Helvetia Insurance	Helvetia Group
Helvetia Insurance	Helvetia Gruppe
Metrowagonmash	Metrovagonmash
Metrowagonmash	MWM
Daybreak Game Company	Sony Online Entertainment
Elisa	Elisa Oyj
University of York	York University
University of York	Ebor.
Stony Brook University	State University of New York at Stony Brook
Stony Brook University	SUNY Stony Brook
Stony Brook University	SBU
IAC/InterActiveCorp	IAC
China Pacific Insurance	China Pacific Insurance Group
China Pacific Insurance	CPIC Group
China Pacific Insurance	China Pacific Insurance Company
China Pacific Insurance	China Pacific Life Insurance Co., Ltd
China Pacific Insurance	China Pacific Property Insurance Co., Ltd.
California State University, Chico	Chico State
California State University, Long Beach	Cal State Long Beach
California State University, Long Beach	Long Beach State
California State University, Long Beach	LBSU
California State University, Long Beach	CSULB
Orbital Sciences Corporation	OSC
Orbital Sciences Corporation	Orbital
University of Rome Tor Vergata	Università degli Studi di Roma Tor Vergata
University of Rome Tor Vergata	University of Rome II
Cardiff University	University of Cardiff
Carolco Pictures	Carolco Pictures, Inc.
United Technologies Corporation	UTC
Internet Adult Film Database	IAFD
The Lego Group	Lego Group
The Fletcher School of Law and Diplomacy	Fletcher School of Law and Diplomacy
Yamaguchi University	Yamaguchi Daigaku
Momo	MOMO Srl
Momo	MOMO S.r.l
University of California, Riverside	UC Riverside
University of California, Riverside	UCR
Populous	HOK Sport
Chuo University	Chūō University
Ilisimatusarfik	University of Greenland
Ilisimatusarfik	Grønlands Universitet
Remington Arms	Remington Arms Company, Inc.
University of Southern Brittany	Université de Bretagne Sud
Mojang	Mojang AB
Mojang	Mojang Specifications
Mojang	Mojäng Aktiebolag
Krakatau Steel	Perusahaan Terbatas Krakatau Steel
Krakatau Steel	PT Krakatau Steel
North Carolina State University	NCSU
North Carolina State University	North Carolina State University at Raleigh
North Carolina State University	NC State University
Maastricht University	Universiteit Maastricht
Maastricht University	UM
Maastricht University	Rijksuniversiteit Limburg
Charles de Gaulle University of humanities arts and social sciences	University Lille 3
Charles de Gaulle University of humanities arts and social sciences	University Lille III
Charles de Gaulle University of humanities arts and social sciences	Université Lille 3
Charles de Gaulle University of humanities arts and social sciences	Université Lille III
Charles de Gaulle University of humanities arts and social sciences	University of Lille 3
Charles de Gaulle University of humanities arts and social sciences	university de Lille 3
Charles de Gaulle University of humanities arts and social sciences	universite Lille 3
Charles de Gaulle University of humanities arts and social sciences	universite de Lille 3
University of Glamorgan	Glamorgan University
University of Paris VI : Pierre-and-Marie-Curie University	UPMC - Sorbonne University
University of Paris VI : Pierre-and-Marie-Curie University	Pierre-and-Marie-Curie University
University of Paris VI : Pierre-and-Marie-Curie University	University of Paris 6
University of Paris VI : Pierre-and-Marie-Curie University	University of Paris VI
University of Paris VI : Pierre-and-Marie-Curie University	Pierre et Marie Curie University, Paris
Thales Group	Thales S.A.
Bucharest Academy of Economic Studies	Academia de Studii Economice din București
Bucharest Academy of Economic Studies	ASE
Norwegian Data Inspectorate	Datatilsynet
Norwegian Data Inspectorate	The Norwegian Data Protection Authority
DekaBank Deutsche Girozentrale	Deutsche Girozentrale Deutsche Kommunalbank
DekaBank Deutsche Girozentrale	DekaBank GmbH
Research Triangle Park	RTP
Paul Cézanne University	Aix-Marseille III
Paul Cézanne University	Paul Cézanne University Aix-Marseille III
Paul Cézanne University	Aix-Marseille III University
Paul Cézanne University	University of Aix-Marseille III
Nikon	Nikon Corporation
DigitalGlobe	DigitalGlobe, Inc.
Direct Relief	Direct Relief International
Addis Ababa University	AAU
FCB	Foote, Cone & Belding
FCB	Draftfcb
Technical University of Denmark	Danmarks Tekniske Universitet
ELBO	ELVO
easyGroup	EasyGroup Holdings Ltd
Valeo	Société anonyme française du Ferodo
SNCASE	Sud-Est
SNCASE	Societe nationale des constructios aeronautiques du Sud-Est
Toyo University	Shiritsu Tetsugakukan
Popeyes Chicken & Biscuits	Popeyes Louisiana Kitchen
University of Liège	Université de Liège
University of Liège	ULg
University of Liège	Universitas Leodiensis
Emerson Electric	Emerson Electric Company
Emerson Electric	EMR
Tomy	Tomy Co.
Tomy	Takara Tomy
Tomy	Tomy Co., Ltd.
Monterrey Institute of Technology and Higher Education	Monterrey Institute of Technology
Monterrey Institute of Technology and Higher Education	Monterrey Tech
Shugart Associates	Shugart Corporation
National University of Mongolia	NUM
National University of Mongolia	MUIS
National University of Mongolia	Монгол Улсын Их Сургууль
National University of Mongolia	МУИС
University of Wollongong	UOW
University of Wollongong	Wollongong University
University of Wollongong	The University of Wollongong
Kansai Electric Power Company	KEPCO
Xi'an	Xi'an Aircraft Industrial Corporation
Xi'an	Xi'an Aircraft Company Limited
Xi'an	XAC
Xi'an	Avic Xi'an Aircraft Industry (Group) Company Ltd.
Xi'an	Xian
Fairfield Shipbuilding and Engineering Company	Fairfields
National Endowment for Democracy	NED
Alexandria University	university of Alexandria
University of Reading	University College, Reading
Fox Racing	Fox Head, Inc.
Fox Racing	Fox
Freeport-McMoRan	Freeport-McMoRan Copper & Gold Inc.
Freeport-McMoRan	Freeport
University of Kharkiv	Kharkiv National University
University of Kharkiv	Kharkiv State University
Ubisoft Massive	Massive Entertainment
NASDAQ OMX Group	The NASDAQ OMX Group, Inc.
University of Paris-Sud	University of Paris XI
University of Paris-Sud	University of Paris 11
Peninsular and Oriental Steam Navigation Company	P&O
Swedish Tourist Association	Svenska Turistföreningen
Swedish Tourist Association	STF
Gauntlet	Gauntlet Enterprises
Opel Performance Center	OPC
WebCite	WebCitation.org
International Capital Market Association	ICMA
Gold's Gym	Gold's Gym International, Inc.
Tallink	AS Tallink Grupp
Skanska	Skanska AB
University Centre in Svalbard	UNIS
University of Macau	UM
University of Macau	UMAC
Marathon Oil	Marathon Oil Corporation
International University of the Caribbean	Caribbean International University
Islamic Bank of Britain	IBB
Islamic Bank of Britain	Al Rayan Bank
Hoefler & Co.	Hoefler & Frere-Jones
Hydro Tasmania	Hydro Electric Commission
Hydro Tasmania	HEC
Hydro Tasmania	The Hydro
Hydro Tasmania	Tasmanian Hydro Electric Commission
Timex Group USA	Timex Corporation
Timex Group USA	Timex Group USA, Inc.
Syntex	Laboratorios Syntex SA
Albert Heijn	AH
Indian Institute of Technology Kharagpur	IIT Kharagpur
Indian Institute of Technology Kharagpur	IIT KGP
Indonesia Stock Exchange	IDX
Neiva	Indústria Aeronáutica Neiva
Neiva	Neiva Aeronautical Industry
International Council of African Museums	AFRICOM
Rockstar Leeds	Mobius Entertainment
Nicolaus Copernicus University in Toruń	Uniwersytet Mikołaja Kopernika w Toruniu
Union of the Committees of Soldiers' Mothers of Russia	the Committee of Soldiers' Mothers of Russia
Loyola Marymount University	LMU
Universidade Estadual Paulista	Universidade Estadual Paulista Júlio de Mesquita Filho
Universidade Estadual Paulista	UNESP
Universidade Estadual Paulista	São Paulo State University
Rockstar Lincoln	Tarantula Studios
Viacom International Media Networks	MTV Europe
National University of Music Bucharest	Universitatea Națională de Muzică București
National University of Music Bucharest	U.N.M.B.
National University of Music Bucharest	Conservatorul din București
National University of Music Bucharest	Academia de Muzică București
Navman	Talon Technology
Prysmian	Prysmian Group
Vector Motors	Vector Motors Corporation
University of Hawaii at Manoa	University of Hawaiʻi at Mānoa
University of Hawaii at Manoa	UH Mānoa
OSI Group	OSI
Rio Tinto Alcan	Alcan
Orange Business Services	OBS
Nintendo Software Planning & Development	Nintendo SPD
Universidade Estadual de Campinas	UNICAMP
Universidade Estadual de Campinas	University of Campinas
Illumina	Illumina, Inc.
Illumina	ILMN
Pacific Biosciences	PACB
CVS Pharmacy	CVS/pharmacy
CVS Pharmacy	CVS
DeMoulas Market Basket	Market Basket
Simón Bolívar University	Universidad Simón Bolívar
ESPNcricinfo	CricInfo
Republican National Committee	RNC
Saint Petersburg State University of Economics	Санкт-Петербургский государственный университет экономики и финансов
Saint Petersburg State University of Economics	Финэк
Saint Petersburg State University of Economics	Finec
Kudos	Kudos Film and Television
University of Chieti	G. d'Annunzio" University of Chieti-Pescara
University of Nevada, Las Vegas	UNLV
Universidade Federal de Pernambuco	UFPE
Universidade Federal de Pernambuco	Federal University of Pernambuco
SNVI	Entreprise Nationale des Véhicules Industriels
SNVI	National Company of Industrial Vehicles
TIME Sport International	Time
OverClocked ReMix	OverClocked ReMix
OverClocked ReMix	ocremix
OverClocked ReMix	OC ReMix
OverClocked ReMix	OCR
Tobii AB	Tobii Technology
Tobii AB	Tobii Pro
Tobii AB	Tobii Dynavox
Tobii AB	Tobii Tech
Cerwin-Vega	CV
Bjarke Ingels Group	BIG
The Hidden Wiki	Hidden Wiki
University of the Llanos	Unillanos
University of Minnesota Duluth	UMD
Université de Nîmes	University of Nîmes
VT Group	Vosper Thornycroft
Spike	Supaiku
Turner Scott Motorsports	Turner Motorsports
Islamic Azad University	Azad University
20th Century Fox Television	TCF Television Productions, Inc.
Saban Entertainment	Saban International
Saban Entertainment	Saban Productions
Gaumont-British Picture Corporation	Gaumont British
Acro Sport	Acro Sport Inc.
Mobileye	Mobileye N.V.
Cameron International	Cooper Cameron Corporation
Cameron International	CCC
Intu Properties	Capital Shopping Centres Group plc
Cengage Learning	Thomson Learning
CEPT University	Centre for Environmental Planning and Technology University
CEPT University	CEPT
Ciné-Asie Film Institute	Ciné-Asie
Fondation Chirac	Fondation jacques chirac pour le développement durable et le dialogue des cultures
Mobil	Socony-Vacuum Oil Company
Mobil	Standard Oil Company of New York
Mobil	Socony
Kaplan	Kaplan International Colleges
MacSoft Games	Westlake Interactive
Savitribai Phule Pune University	University of Poona
Savitribai Phule Pune University	University of Pune
Karnataka State Road Transport Corporation	KSRTC
Xnet	X.net
The Coca-Cola Company	Coca-Cola
The Coca-Cola Company	Coca Cola
University of Balochistan	University of Baluchistan
PKWARE	PKWARE, Inc.
Rex-Acme	Rex
Paul	Boulangeries Paul SAS
Cierva Autogiro Company	Cierva Autogiro Co., Ltd.
Realtime Worlds	Realtime Worlds Ltd
Sheaffer	Sheaffer Pen Corporation
Société des Avions Bernard	Bernard planes
Ontario Lottery and Gaming Corporation	OLG
Stern	Stern Electronics, Inc.
Stern	Stern Pinball, Inc.
TM4	TM4 Inc.
TM4	TM4 Electrodynamic Systems
TM4	Electric TM4
University of Minnesota Morris	UMM
Airports Authority of India	AAI
BAE Systems Land & Armaments	BAE Systems North America
Breisgau-S-Bahn	BSB
AMC Networks International Zone	Chello Zone
AMC Networks International Zone	AMC Networks International — Zone
feelplus	Scarab
Universidade Federal de Santa Maria	UFSM
Universidade Federal de Santa Maria	Federal University of Santa Maria
KMD	Kommunedata
Aldar Properties	Aldar Properties PJSC
Kerry Properties	Kerry Properties Limited
Neo-Neon Holdings	Neo-Neon Holdings Limited
Two Guys from Andromeda	Guys From Andromeda
Kazan State Technical University named after A. N. Tupolev	Kazan Aviation Institute
Kazan State Technical University named after A. N. Tupolev	KSTU
Polly Peck	Polly Peck International plc
Polly Peck	Polly Peck International
Technoavia	SCF Technoavia
Technoavia	Scientific Commercial Firm Technoavia
Gauhati University	Guwahati University
1-800-Flowers	1-800-Flowers.com, Inc.
Universidade Federal do Pará	UFPA
Universidade Federal do Pará	Federal University of Pará
AMS	Advanced Music Systems
Romanian Cosmonautics and Aeronautics Association	ARCA
Romanian Cosmonautics and Aeronautics Association	Asociația Română pentru Cosmonautică și Aeronautică
Accurist	Accurist Watches Ltd
Alientrap Games	Alientrap
Alientrap Games	Alien Trap
Alientrap Games	Alien Trap Games
Argex Titanium inc.	Argex Titane inc.
Argex Titanium inc.	Argex Mining
DMG Media	Associated Newspapers
Autonomous University of Aguascalientes	UAA
BAE Systems AB	Hägglunds
BIAS	Berkley Integrated Audio Software
Bergenshalvøens Kommunale Kraftselskap	BKK
Big Y World Class Market	Big Y Foods, Inc.
Budgens	Budgens Stores Ltd
Asia Resource Minerals	Bumi
Asia Resource Minerals	Vallar
Caribbean New Media Group	CNMG
Carillion	Carillion plc
Caspian Telecom	CASTEL
Caspian Telecom	Caspian Telecom
Caspian Telecom	Caspian Telecom LLC
Caspian Telecom	Aile TV
Caspian Telecom	AileNET
Caspian Telecom	A MEDIA
Cholamandalam MS General Insurance	Chola MS
Chuo Gakuin University	Chūō Gakuin University
Companhia das Naus	Company of the Carracks
Tokio Marine Nichido	Tokio Marine & Nichido Fire Insurance Co., Ltd.
Danger, Inc.	Danger
Mace	Mace Group Ltd
DuPont Danisco	DuPont Danisco Cellulosic Ethanol LLC
Dr. Babasaheb Ambedkar Marathwada University	Marathwada University
E. P. Dutton	E. P. Dutton & Company
ELS Language Centers	ELS
Entertainment One Films	Fox Lorber Films
Entertainment One Films	Koch-Lorber Films
Easy	Easy Hogar y Construcción
Electronic Chart Centre	Electronic Chart Centre AS
Elizabeth City State University	ECSU
Endemol UK	Endemol UK Ltd
Eurostar International Limited	EIL
HSBC Bank Argentina	HSBC Bank Argentina S.A.
Everyday Health	Agora Media
Everyday Health	Waterfront Media
Fairchild	Fairchild Aircraft Ltd.
Fairchild	Fairchild Canada
Fairchild	Fairchild Industries
Universidade Federal da Paraíba	UFPB
Universidade Federal da Paraíba	Federal University of Paraíba
Fever Media	Fever Media Ltd
Franklin Pierce University	Franklin Pierce College
Greene King Brewery	Greene King
London Stock Exchange Group	London Stock Exchange Group plc
Heartland Payment Systems	Heartland Payment Systems, Inc.
Islamic Azad University  Isfahan Branch (Khorasgan)	دانشگاه آزاد اسلامي واحد اصفهان - خوراسگان
ITV Studios	ITV Productions
ITV Studios	Granada Productions
ITV Studios	Granada Television
NOSA	Iran Software & Hardware Co.
Major Cineplex	Major Cineplex Group Public Co. Ltd.
Major Cineplex	MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED
Major Cineplex	Major Cineplex Group
Media Asia Entertainment Group	Media Asia Group
Jones, Turner and Evans	Jones and Potts
La Sierra University	La Sierra
La Sierra University	LSU
Leap Motion	Leap Motion, Inc.
Universidade Federal do Recôncavo da Bahia	UFRB
Long & Foster	Long and Foster
Lucky Stores	Lucky's
Lucy Activewear	lucy.com
M2	M2 (game developer)
Metagaming Concepts	Metagaming
Navi Mumbai Municipal Transport	NMMT
North Carolina National Bank	NCNB
Northgate Information Solutions	Computer Machinery Company Limited
Northgate Information Solutions	Microdata UK limited
CD Projekt	CD Projekt Capital Group
Pangang Group Vanadium Titanium & Resources	Pangang Group Vanadium Titanium & Resources Co., Ltd.
Pangang Group Vanadium Titanium & Resources	Pangang Group Steel Plate Company Limited
Pangang Group Vanadium Titanium & Resources	Panzhihua New Steel and Vanadium
Pangang Group Vanadium Titanium & Resources	Pangang Group Steel Plate
Pangang Group Vanadium Titanium & Resources	Panzhihua New Steel & Vanadium Company Limited
Pennsylvania Real Estate Investment Trust	PREIT
Perfect World	Perfect World Co., Ltd.
Phoenix Bicycles	Shanghai Phoenix Bicycles
Phoenix Bicycles	Phoenix Company. Ltd.
Plovdiv University	University of Plovdiv
Providence University	Providence College
Providence University	Jìngyí Dàxué
Psyop	Psyop, Inc.
Huntington Ingalls Industries	Northrop Grumman Shipbuilding
Qihoo	Qihoo 360
Raiffeisen Romania	Raiffeisen Bank
Semantic Web Company	SWC
Southern Television	Southern Television Limited
Spencer Gifts	JAN
Spencer Gifts	12TH
Spencer Gifts	2014
Spencer Gifts	SUN
Eika Gruppen	Terra-Gruppen
Eika Gruppen	Terra
Eika Gruppen	Eika Gruppen AS
The Foundation of Broadcast Culture	FBC
Theatrix Interactive	Theatrix Interactive, Inc.
Tianjin Port (Group) Company	Tianjin Port Company
Universidad Autónoma de Ciudad Juárez	UACJ
University of St Mark & St John	University College St Mark & St John Plymouth
University of St Mark & St John	Univeristy College Plymouth
University of St Mark & St John	College of St Mark & St John
University of Minnesota Waseca	UMW
University of North Carolina School of the Arts	NCSA
University of Osuna	Colegio-Universidad de la Purísima Concepción en Osuna
University of Rajasthan	Rajasthan University
University of San Jose–Recoletos	Colegio de San Jose – Recoletos
Wedge Community Co-op	Wedge Co-op
Wedge Community Co-op	Wedge Coop
Wedge Community Co-op	The Wedge
Wilson	Wilson ASA
Wright Express	WEX
Wright Express	WEX Inc.
XD Group	Xi'an Electric Manufacturing Corp
Yanbian University of Science and Technology	Yankeda
Yanbian University of Science and Technology	YUST
Fox Television Studios	Fox Television Studios, Inc.
China National Salt Industry Corporation	China Salt
China National Salt Industry Corporation	China National Salt Industry Company
China National Salt Industry Corporation	China National Salt Group
T.J. Maxx	TK Maxx
LukFook Holdings	LukFook Jewellery
Krishna Kanta Handiqui State Open University	KKHSOU
Krishna Kanta Handiqui State Open University	Krishna Kanta Handique State Open University
OC Oerlikon	Unaxis
OC Oerlikon	Oerlikon
DeNA	DeNA Co., Ltd.
Léon & Lévy	Lévy & fils
Léon & Lévy	J. Lévy & Cie.
Léon & Lévy	L.L.
Léon & Lévy	Levy & fils
Sunac China	融創中國
Sunac China	Sunac China Holdings Limited
Sunac China	SEHK:1918
New Hellenic Radio, Internet and Television	NERIT
Atma Jaya University, Yogyakarta	Universitas Atma Jaya Yogyakarta
Achronix	Achronix Semiconductor
Boulton & Paul	Boulton & Paul Ltd
J.B. Lippincott & Co.	J. B. Lippincott Company
Quidel	en el mapuche como antorcha encendida
Summon	InstantCab
University of Health and Allied Sciences	UHAS
International Buster Keaton Society	Damfinos
DJI Innovations	Da-Jiang Innovations Science and Technology Co., Ltd.
DJI Innovations	DJI
McLeod Russel	McLeod Russel India Ltd
BBC Genome	Genome
Vivo Electronics	Vivo
Weightmans	Weightmans LLP
IndyMac	Independent National Mortgage Corporation
IndyMac	IndyMac Bank
ThousandEyes	ThousandEyes, Inc.
Apple Inc.	Apple
Apple Inc.	Apple Computer, Inc.
Adidas	adidas Group
Weizmann Institute of Science	Bessie F. Lawrence International Summer Science Institute
Weizmann Institute of Science	Weitzman Institute
Weizmann Institute of Science	Weitzmann Institute
Weizmann Institute of Science	Clore Garden
Weizmann Institute of Science	Machon Weizmann
Weizmann Institute of Science	Weizmann Institute
Weizmann Institute of Science	Koffler Accelerator
Weizmann Institute of Science	Weizman Institute
Weizmann Institute of Science	Weizman Institute of Science
Dresden Porcelain	Saxon Porcelain Manufactory in Dresden
Dresden Porcelain	Sächsische Porzellanmanufaktur Dresden
Catholic University of Lyon	Universidad Católica de Lyon
BASF	BASF SE
BASF	BASF Societas Europaea
Michigan Technological University	MTU
Michigan Technological University	Michigan Tech
Lenovo	Lenovo Group Limited
University of Massachusetts Amherst	UMass Amherst
Maersk	A.P. Moller – Maersk Group
Princeton University	College of New Jersey
The Pirate Bay	TPB
Codemasters	Code Masters
Codemasters	The Codemasters Software Company Limited
Sega Sports R&D	Smilebit
Kuala Lumpur Kepong Berhad	Kuala Lumpur Kepong(KLK) Berhad
Kuala Lumpur Kepong Berhad	Kuala Lumpur Kepong
Barkas	Framo
Fiat Automobiles	FIAT
Fiat Automobiles	Fiat Automobiles S.p.A.
Saint Petersburg State University	St. Petersburg University
Fabryka Samochodów Osobowych	FSO
Isuzu Motors	Isuzu
Meitetsu	Nagoya Railroad
Charles University in Prague	Univerzita Karlova v Praze
Charles University in Prague	Universitas Carolina
Charles University in Prague	Charles University
GVU	Gesellschaft zur Verfolgung von Urheberrechtsverletzungen e.V.
GVU	Gesellschaft zur Verfolgung von Urheberrechtsverletzungen
GVU	Society for the Prosecution of Copyright Infringement
University of Oxford	Oxford University
University of Oxford	Oxford
University of Oxford	Oxon.
University of Oxford	Oxf
University of Oxford	Universitas Oxoniensis
University of Fribourg	UNIFR
Yahoo!	Yahoo! Inc.
Yahoo!	Maudwen-Yahoo! Inc
Yahoo!	Yahoo
Agnico-Eagle Mines	Agnico Eagle Mines Limited
Pohang University of Science and Technology	POSTECH
Agence France-Presse	AFP
Opel	Adam Opel AG
Murr Television	MTV Lebanon
Murr Television	Murr TV
Esperantic Studies Foundation	ESF
Esperantic Studies Foundation	Fondaĵo pri Esperantaj Studoj
University of Pennsylvania	UPenn
University of Pennsylvania	Penn
Toshiba	Toshiba Corporation
Poznań International Fair	The Poznań International Fair
